Afghanistan,"('Afghanistan', 'Afghanistan'),"
Albania,"('Albania', 'Albania'),"
Algeria,"('Algeria', 'Algeria'),"
American Samoa,"('American Samoa', 'American Samoa'),"
Andorra,"('Andorra', 'Andorra'),"
Angola,"('Angola', 'Angola'),"
Anguilla,"('Anguilla', 'Anguilla'),"
Antarctica,"('Antarctica', 'Antarctica'),"
Antigua And Barbuda,"('Antigua And Barbuda', 'Antigua And Barbuda'),"
Argentina,"('Argentina', 'Argentina'),"
Armenia,"('Armenia', 'Armenia'),"
Aruba,"('Aruba', 'Aruba'),"
Australia,"('Australia', 'Australia'),"
Austria,"('Austria', 'Austria'),"
Azerbaijan,"('Azerbaijan', 'Azerbaijan'),"
Bahamas,"('Bahamas', 'Bahamas'),"
Bahrain,"('Bahrain', 'Bahrain'),"
Bangladesh,"('Bangladesh', 'Bangladesh'),"
Barbados,"('Barbados', 'Barbados'),"
Belarus,"('Belarus', 'Belarus'),"
Belgium,"('Belgium', 'Belgium'),"
Belize,"('Belize', 'Belize'),"
Benin,"('Benin', 'Benin'),"
Bermuda,"('Bermuda', 'Bermuda'),"
Bhutan,"('Bhutan', 'Bhutan'),"
Bolivia,"('Bolivia', 'Bolivia'),"
Bosnia And Herzegovina,"('Bosnia And Herzegovina', 'Bosnia And Herzegovina'),"
Botswana,"('Botswana', 'Botswana'),"
Bouvet Island,"('Bouvet Island', 'Bouvet Island'),"
Brazil,"('Brazil', 'Brazil'),"
British Indian Ocean Territory,"('British Indian Ocean Territory', 'British Indian Ocean Territory'),"
Brunei Darussalam,"('Brunei Darussalam', 'Brunei Darussalam'),"
Bulgaria,"('Bulgaria', 'Bulgaria'),"
Burkina Faso,"('Burkina Faso', 'Burkina Faso'),"
Burundi,"('Burundi', 'Burundi'),"
Cambodia,"('Cambodia', 'Cambodia'),"
Cameroon,"('Cameroon', 'Cameroon'),"
Canada,"('Canada', 'Canada'),"
Cape Verde,"('Cape Verde', 'Cape Verde'),"
Cayman Islands,"('Cayman Islands', 'Cayman Islands'),"
Central African Republic,"('Central African Republic', 'Central African Republic'),"
Chad,"('Chad', 'Chad'),"
Chile,"('Chile', 'Chile'),"
China,"('China', 'China'),"
Christmas Island,"('Christmas Island', 'Christmas Island'),"
Cocos Islands,"('Cocos Islands', 'Cocos Islands'),"
Colombia,"('Colombia', 'Colombia'),"
Comoros,"('Comoros', 'Comoros'),"
Congo,"('Congo', 'Congo'),"
The Democratic Republic Of The Congo,"('The Democratic Republic Of The Congo', 'The Democratic Republic Of The Congo'),"
Cook Islands,"('Cook Islands', 'Cook Islands'),"
Costa Rica,"('Costa Rica', 'Costa Rica'),"
Cote D'ivoire,"('Cote D'ivoire', 'Cote D'ivoire'),"
Croatia,"('Croatia', 'Croatia'),"
Cuba,"('Cuba', 'Cuba'),"
Cyprus,"('Cyprus', 'Cyprus'),"
Czech Republic,"('Czech Republic', 'Czech Republic'),"
Denmark,"('Denmark', 'Denmark'),"
Djibouti,"('Djibouti', 'Djibouti'),"
Dominica,"('Dominica', 'Dominica'),"
Dominican Republic,"('Dominican Republic', 'Dominican Republic'),"
East Timor,"('East Timor', 'East Timor'),"
Ecuador,"('Ecuador', 'Ecuador'),"
Egypt,"('Egypt', 'Egypt'),"
El Salvador,"('El Salvador', 'El Salvador'),"
Equatorial Guinea,"('Equatorial Guinea', 'Equatorial Guinea'),"
Eritrea,"('Eritrea', 'Eritrea'),"
Estonia,"('Estonia', 'Estonia'),"
Ethiopia,"('Ethiopia', 'Ethiopia'),"
Falkland Islands,"('Falkland Islands', 'Falkland Islands'),"
Faroe Islands,"('Faroe Islands', 'Faroe Islands'),"
Fiji,"('Fiji', 'Fiji'),"
Finland,"('Finland', 'Finland'),"
France,"('France', 'France'),"
French Guiana,"('French Guiana', 'French Guiana'),"
French Polynesia,"('French Polynesia', 'French Polynesia'),"
French Southern Territories,"('French Southern Territories', 'French Southern Territories'),"
Gabon,"('Gabon', 'Gabon'),"
Gambia,"('Gambia', 'Gambia'),"
Georgia,"('Georgia', 'Georgia'),"
Germany,"('Germany', 'Germany'),"
Ghana,"('Ghana', 'Ghana'),"
Gibraltar,"('Gibraltar', 'Gibraltar'),"
Greece,"('Greece', 'Greece'),"
Greenland,"('Greenland', 'Greenland'),"
Grenada,"('Grenada', 'Grenada'),"
Guadeloupe,"('Guadeloupe', 'Guadeloupe'),"
Guam,"('Guam', 'Guam'),"
Guatemala,"('Guatemala', 'Guatemala'),"
Guinea,"('Guinea', 'Guinea'),"
Guinea-bissau,"('Guinea-bissau', 'Guinea-bissau'),"
Guyana,"('Guyana', 'Guyana'),"
Haiti,"('Haiti', 'Haiti'),"
Heard Island And Mcdonald Islands,"('Heard Island And Mcdonald Islands', 'Heard Island And Mcdonald Islands'),"
Holy See,"('Holy See', 'Holy See'),"
Honduras,"('Honduras', 'Honduras'),"
Hong Kong,"('Hong Kong', 'Hong Kong'),"
Hungary,"('Hungary', 'Hungary'),"
Iceland,"('Iceland', 'Iceland'),"
India,"('India', 'India'),"
Indonesia,"('Indonesia', 'Indonesia'),"
Islamic Republic Of Iran,"('Islamic Republic Of Iran', 'Islamic Republic Of Iran'),"
Iraq,"('Iraq', 'Iraq'),"
Ireland,"('Ireland', 'Ireland'),"
Israel,"('Israel', 'Israel'),"
Italy,"('Italy', 'Italy'),"
Jamaica,"('Jamaica', 'Jamaica'),"
Japan,"('Japan', 'Japan'),"
Jordan,"('Jordan', 'Jordan'),"
Kazakstan,"('Kazakstan', 'Kazakstan'),"
Kenya,"('Kenya', 'Kenya'),"
Kiribati,"('Kiribati', 'Kiribati'),"
Democratic People's Republic Of Korea,"('Democratic People's Republic Of Korea', 'Democratic People's Republic Of Korea'),"
"Republic Of Korea, ","('Republic Of Korea,', 'Republic Of Korea,'),"
Kosovo,"('Kosovo', 'Kosovo'),"
Kuwait,"('Kuwait', 'Kuwait'),"
Kyrgyzstan,"('Kyrgyzstan', 'Kyrgyzstan'),"
Lao People's Democratic Republic,"('Lao People's Democratic Republic', 'Lao People's Democratic Republic'),"
Latvia,"('Latvia', 'Latvia'),"
Lebanon,"('Lebanon', 'Lebanon'),"
Lesotho,"('Lesotho', 'Lesotho'),"
Liberia,"('Liberia', 'Liberia'),"
Libyan Arab Jamahiriya,"('Libyan Arab Jamahiriya', 'Libyan Arab Jamahiriya'),"
Liechtenstein,"('Liechtenstein', 'Liechtenstein'),"
Lithuania,"('Lithuania', 'Lithuania'),"
Luxembourg,"('Luxembourg', 'Luxembourg'),"
Macau,"('Macau', 'Macau'),"
The Former Yugoslav Republic Of Macedonia,"('The Former Yugoslav Republic Of Macedonia', 'The Former Yugoslav Republic Of Macedonia'),"
Madagascar,"('Madagascar', 'Madagascar'),"
Malawi,"('Malawi', 'Malawi'),"
Malaysia,"('Malaysia', 'Malaysia'),"
Maldives,"('Maldives', 'Maldives'),"
Mali,"('Mali', 'Mali'),"
Malta,"('Malta', 'Malta'),"
Marshall Islands,"('Marshall Islands', 'Marshall Islands'),"
Martinique,"('Martinique', 'Martinique'),"
Mauritania,"('Mauritania', 'Mauritania'),"
Mauritius,"('Mauritius', 'Mauritius'),"
Mayotte,"('Mayotte', 'Mayotte'),"
Mexico,"('Mexico', 'Mexico'),"
Federated States Of Micronesia,"('Federated States Of Micronesia', 'Federated States Of Micronesia'),"
Republic Of Moldova,"('Republic Of Moldova', 'Republic Of Moldova'),"
Monaco,"('Monaco', 'Monaco'),"
Mongolia,"('Mongolia', 'Mongolia'),"
Montserrat,"('Montserrat', 'Montserrat'),"
Montenegro,"('Montenegro', 'Montenegro'),"
Morocco,"('Morocco', 'Morocco'),"
Mozambique,"('Mozambique', 'Mozambique'),"
Myanmar,"('Myanmar', 'Myanmar'),"
Namibia,"('Namibia', 'Namibia'),"
Nauru,"('Nauru', 'Nauru'),"
Nepal,"('Nepal', 'Nepal'),"
Netherlands,"('Netherlands', 'Netherlands'),"
Netherlands Antilles,"('Netherlands Antilles', 'Netherlands Antilles'),"
New Caledonia,"('New Caledonia', 'New Caledonia'),"
New Zealand,"('New Zealand', 'New Zealand'),"
Nicaragua,"('Nicaragua', 'Nicaragua'),"
Niger,"('Niger', 'Niger'),"
Nigeria,"('Nigeria', 'Nigeria'),"
Niue,"('Niue', 'Niue'),"
Norfolk Island,"('Norfolk Island', 'Norfolk Island'),"
Northern Mariana Islands,"('Northern Mariana Islands', 'Northern Mariana Islands'),"
Norway,"('Norway', 'Norway'),"
Oman,"('Oman', 'Oman'),"
Pakistan,"('Pakistan', 'Pakistan'),"
Palau,"('Palau', 'Palau'),"
State of Palestine,"('State of Palestine', 'State of Palestine'),"
Panama,"('Panama', 'Panama'),"
Papua New Guinea,"('Papua New Guinea', 'Papua New Guinea'),"
Paraguay,"('Paraguay', 'Paraguay'),"
Peru,"('Peru', 'Peru'),"
Philippines,"('Philippines', 'Philippines'),"
Pitcairn,"('Pitcairn', 'Pitcairn'),"
Poland,"('Poland', 'Poland'),"
Portugal,"('Portugal', 'Portugal'),"
Puerto Rico,"('Puerto Rico', 'Puerto Rico'),"
Qatar,"('Qatar', 'Qatar'),"
Reunion,"('Reunion', 'Reunion'),"
Romania,"('Romania', 'Romania'),"
Russian Federation,"('Russian Federation', 'Russian Federation'),"
Rwanda,"('Rwanda', 'Rwanda'),"
Saint Helena,"('Saint Helena', 'Saint Helena'),"
Saint Kitts And Nevis,"('Saint Kitts And Nevis', 'Saint Kitts And Nevis'),"
Saint Lucia,"('Saint Lucia', 'Saint Lucia'),"
Saint Pierre And Miquelon,"('Saint Pierre And Miquelon', 'Saint Pierre And Miquelon'),"
Saint Vincent And The Grenadines,"('Saint Vincent And The Grenadines', 'Saint Vincent And The Grenadines'),"
Samoa,"('Samoa', 'Samoa'),"
San Marino,"('San Marino', 'San Marino'),"
Sao Tome And Principe,"('Sao Tome And Principe', 'Sao Tome And Principe'),"
Saudi Arabia,"('Saudi Arabia', 'Saudi Arabia'),"
Senegal,"('Senegal', 'Senegal'),"
Serbia,"('Serbia', 'Serbia'),"
Seychelles,"('Seychelles', 'Seychelles'),"
Sierra Leone,"('Sierra Leone', 'Sierra Leone'),"
Singapore,"('Singapore', 'Singapore'),"
Slovakia,"('Slovakia', 'Slovakia'),"
Slovenia,"('Slovenia', 'Slovenia'),"
Solomon Islands,"('Solomon Islands', 'Solomon Islands'),"
Somalia,"('Somalia', 'Somalia'),"
South Africa,"('South Africa', 'South Africa'),"
South Georgia And The South Sandwich Islands,"('South Georgia And The South Sandwich Islands', 'South Georgia And The South Sandwich Islands'),"
Spain,"('Spain', 'Spain'),"
Sri Lanka,"('Sri Lanka', 'Sri Lanka'),"
Sudan,"('Sudan', 'Sudan'),"
Suriname,"('Suriname', 'Suriname'),"
Svalbard And Jan Mayen,"('Svalbard And Jan Mayen', 'Svalbard And Jan Mayen'),"
Swaziland,"('Swaziland', 'Swaziland'),"
Sweden,"('Sweden', 'Sweden'),"
Switzerland,"('Switzerland', 'Switzerland'),"
Syrian Arab Republic,"('Syrian Arab Republic', 'Syrian Arab Republic'),"
"Taiwan, Province Of China","('Taiwan, Province Of China', 'Taiwan, Province Of China'),"
Tajikistan,"('Tajikistan', 'Tajikistan'),"
United Republic Of Tanzania,"('United Republic Of Tanzania', 'United Republic Of Tanzania'),"
Thailand,"('Thailand', 'Thailand'),"
Togo,"('Togo', 'Togo'),"
Tokelau,"('Tokelau', 'Tokelau'),"
Tonga,"('Tonga', 'Tonga'),"
Trinidad And Tobago,"('Trinidad And Tobago', 'Trinidad And Tobago'),"
Tunisia,"('Tunisia', 'Tunisia'),"
Turkey,"('Turkey', 'Turkey'),"
Turkmenistan,"('Turkmenistan', 'Turkmenistan'),"
Turks And Caicos Islands,"('Turks And Caicos Islands', 'Turks And Caicos Islands'),"
Tuvalu,"('Tuvalu', 'Tuvalu'),"
Uganda,"('Uganda', 'Uganda'),"
Ukraine,"('Ukraine', 'Ukraine'),"
United Arab Emirates,"('United Arab Emirates', 'United Arab Emirates'),"
United Kingdom,"('United Kingdom', 'United Kingdom'),"
United States of America,"('United States of America', 'United States of America'),"
United States Minor Outlying Islands,"('United States Minor Outlying Islands', 'United States Minor Outlying Islands'),"
Uruguay,"('Uruguay', 'Uruguay'),"
Uzbekistan,"('Uzbekistan', 'Uzbekistan'),"
Vanuatu,"('Vanuatu', 'Vanuatu'),"
Venezuela,"('Venezuela', 'Venezuela'),"
Viet Nam,"('Viet Nam', 'Viet Nam'),"
British Virgin Islands,"('British Virgin Islands', 'British Virgin Islands'),"
U.S. Virgin Islands,"('U.S. Virgin Islands', 'U.S. Virgin Islands'),"
Wallis And Futuna,"('Wallis And Futuna', 'Wallis And Futuna'),"
Western Sahara,"('Western Sahara', 'Western Sahara'),"
Yemen,"('Yemen', 'Yemen'),"
Zambia,"('Zambia', 'Zambia'),"
Zimbabwe,"('Zimbabwe', 'Zimbabwe'),"
